hotel;está_cancelado ;plazo_de_llegada;fecha_de_llegada_año;fecha_de_llegada_mes;fecha_de_llegada_número_de_semana;fecha_de_llegada_día_del_mes;estancias_en_noches_de_fin_de_semana;estancias_en_noches_de_semana ;adultos;niños;bebés;comida;país;segmento_de_mercado;canal_de_distribución ;es_huésped_repetido ;cancelaciones_anteriores ;reservas_anteriores_no_canceladas;tipo_habitación_reservada;tipo_habitación_asignada ;cambios_de_reserva;tipo_de_depósito ;agente;empresa ;días_en_lista_de_espera;tipo_de_cliente ;adr;plazas_de_aparcamiento_obligatorias;total_de_solicitudes_especiales;estado_de_la_reserva;fecha_del_estado_de_la_reserva
Hotel Andina La Terraza;no;90;2023;Agosto;36;31;0;3;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;129.9;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;35;2023;Agosto;36;30;0;4;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;9;NULL;0;Transitorio;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;0;2023;Agosto;36;30;0;4;3;0;0;BB;HRV;Online TA;TA/TO;0;0;0;D;D;1;No Deposit;9;NULL;0;Transitorio;142.2;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;30;2023;Agosto;36;30;0;4;2;0;0;BB;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;76;2023;Agosto;36;30;0;4;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;85;NULL;0;Transitorio;89.75;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;3;2023;Septiembre;36;2;0;1;2;0;0;BB;GBR;Directo;Directo;0;0;0;D;D;0;No Deposit;14;NULL;0;Transitorio;140;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;32;2023;Septiembre;36;2;0;1;2;0;0;SC;IRL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;72.42;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;24;2023;Agosto;36;31;0;3;2;0;0;SC;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;110;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;6;2023;Agosto;36;31;0;3;2;0;0;BB;BEL;Directo;Directo;0;0;0;A;A;0;No Deposit;NULL;NULL;0;Transitorio - Fiesta;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;2;2023;Septiembre;36;2;0;1;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;9;NULL;0;Transitorio;249;1;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;33;2023;Septiembre;36;2;0;1;1;0;0;BB;BRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;104.4;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;2;2023;Agosto;36;31;0;3;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;9;NULL;0;Transitorio;139;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;45;2023;Septiembre;36;1;0;2;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;9;NULL;0;Transitorio;118.8;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;235;2023;Agosto;36;31;0;3;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;94.5;1;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;46;2023;Agosto;36;28;2;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;81.31;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;42;2023;Agosto;36;30;0;4;3;0;0;BB;BEL;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;142.2;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;42;2023;Agosto;36;30;0;4;3;0;0;BB;NLD;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;142.2;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;34;2023;Agosto;35;27;2;5;2;0;0;SC;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;103.89;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;35;2023;Agosto;36;31;0;3;2;0;0;SC;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;99;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;6;2023;Agosto;36;31;0;3;2;0;0;BB;BEL;Directo;Directo;0;0;0;A;A;0;No Deposit;NULL;NULL;0;Transitorio - Fiesta;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;3;2023;Septiembre;36;2;0;1;2;0;0;BB;USA;Directo;Directo;0;0;0;D;D;0;No Deposit;14;NULL;0;Transitorio;140;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;53;2023;Septiembre;36;1;0;2;2;0;0;SC;CHN;Online TA;TA/TO;0;0;0;A;B;1;No Deposit;9;NULL;0;Transitorio;89.1;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;12;2023;Septiembre;36;2;0;1;2;0;0;SC;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;119;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;0;2023;Septiembre;36;2;0;1;2;0;0;SC;PRT;Directo;Directo;0;0;0;A;D;0;No Deposit;NULL;NULL;0;Transitorio;149;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;30;2023;Agosto;36;30;0;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;84.55;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;9;2023;Agosto;36;29;1;4;1;0;0;BB;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;128.4;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;46;2023;Septiembre;36;1;0;2;2;0;0;SC;ESP;Online TA;TA/TO;0;0;0;A;B;1;No Deposit;9;NULL;0;Transitorio;99;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;49;2023;Septiembre;36;2;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;3;Check-Out;9/03/2023
Hotel Andina La Terraza;no;81;2023;Agosto;36;28;2;4;3;0;0;BB;FIN;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;106.95;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;216;2023;Agosto;36;30;0;4;2;0;0;BB;NLD;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;85;NULL;0;Transitorio;86.7;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;0;2023;Septiembre;36;2;0;1;1;0;0;BB;JPN;Directo;Directo;0;0;0;B;B;0;No Deposit;14;NULL;0;Transitorio;150;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;2;2023;Septiembre;36;2;0;1;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;9;NULL;0;Transitorio;258;1;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;59;2023;Septiembre;36;1;0;2;3;0;0;BB;FRA;Online TA;TA/TO;0;0;0;D;F;0;No Deposit;9;NULL;0;Transitorio;142.2;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;46;2023;Agosto;36;29;1;4;2;0;0;SC;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;100.62;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;3;2023;Septiembre;36;2;0;1;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;152;NULL;0;Transitorio;86.35;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;28;2023;Agosto;36;30;0;4;2;0;0;SC;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;104.5;0;2;Check-Out;9/03/2023
Hotel Andina La Terraza;no;185;2023;Agosto;36;28;2;4;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;11;NULL;0;Transitorio;61;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;59;2023;Agosto;36;31;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;0;2023;Septiembre;36;2;0;1;2;0;0;SC;USA;Online TA;TA/TO;0;0;0;A;B;0;No Deposit;152;NULL;0;Transitorio;94.1;0;0;Check-Out;9/03/2023
Hotel Andina La Terraza;no;8;2023;Septiembre;36;2;0;1;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;8;2023;Septiembre;36;2;0;1;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;119;0;1;Check-Out;9/03/2023
Hotel Andina La Terraza;no;15;2023;Agosto;36;31;0;4;2;0;0;BB;ITA;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;8;NULL;0;Transitorio;116;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;144;2023;Septiembre;36;1;0;3;2;0;0;BB;NOR;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;149.4;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;50;2023;Septiembre;36;1;0;3;2;0;0;BB;FRA;Directo;Directo;0;0;0;E;E;0;No Deposit;14;NULL;0;Transitorio;158;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;78;2023;Septiembre;36;1;0;3;2;0;0;BB;BRA;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;149.4;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;0;2023;Agosto;36;31;0;4;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;0;0;A;A;1;No Deposit;3;NULL;0;Transitorio;95;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Septiembre;36;2;0;2;2;0;0;SC;ITA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;87.3;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Septiembre;36;3;0;1;2;0;0;SC;ESP;Online TA;TA/TO;0;0;0;A;D;1;No Deposit;9;NULL;0;Transitorio;96.3;1;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;64;2023;Septiembre;36;2;0;2;2;0;0;BB;CN;Directo;Directo;0;0;0;A;A;0;No Deposit;14;NULL;0;Transitorio;82.45;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Agosto;36;31;0;4;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;120.6;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;141;2023;Agosto;36;31;0;4;3;0;0;BB;FRA;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;167.4;1;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;317;2023;Septiembre;36;1;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;B;1;No Deposit;9;NULL;0;Contrato;106.2;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;317;2023;Septiembre;36;1;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;B;1;No Deposit;9;NULL;0;Contrato;106.2;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;182;2023;Septiembre;36;3;0;1;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;97.71;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;111;2023;Septiembre;36;1;0;3;2;0;0;SC;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;7;NULL;0;Transitorio;86.9;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;59;2023;Septiembre;36;1;0;3;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;123.3;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;308;2023;Septiembre;36;1;0;3;2;0;0;SC;CHE;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;11;NULL;0;Transitorio;68.69;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;188;2023;Septiembre;36;1;0;3;2;0;0;SC;GBR;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;9;NULL;0;Transitorio;116.1;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Septiembre;36;1;0;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;132.9;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Septiembre;36;1;0;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;141.9;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;44;2023;Septiembre;36;3;0;1;2;0;0;BB;PRT;Directo;Directo;0;0;0;D;E;1;No Deposit;14;NULL;0;Transitorio;113.05;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;213;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio - Fiesta;118.15;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;15;2023;Agosto;36;31;0;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;139;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;213;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio - Fiesta;118.15;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;62;2023;Septiembre;36;1;0;3;2;0;0;BB;ITA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;30;2023;Septiembre;36;1;0;3;1;2;0;BB;ESP;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;9;NULL;0;Transitorio;181.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;200;2023;Agosto;36;31;0;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;105.4;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;11;2023;Septiembre;36;2;0;2;2;0;0;SC;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;124;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;87;2023;Agosto;36;31;0;4;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;131.4;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;30;2023;Septiembre;36;2;0;2;2;1;1;HB;PRT;Online TA;TA/TO;0;0;0;F;F;1;No Deposit;9;NULL;0;Transitorio;233.1;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;15;2023;Septiembre;36;2;0;2;2;0;0;BB;CHE;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;138;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;40;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;168;NULL;0;Transitorio;85.5;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;40;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;168;NULL;0;Transitorio;85.5;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;66;2023;Septiembre;36;1;0;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;141.9;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;156;2023;Agosto;36;29;1;5;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;111.6;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;53;2023;Septiembre;36;1;0;3;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;123.3;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;46;2023;Agosto;36;28;2;5;2;0;0;BB;TUR;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;124.46;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;57;2023;Septiembre;36;2;0;2;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;123.3;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;220;2023;Septiembre;36;2;0;2;2;0;0;BB;RUS;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;96.3;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;150;2023;Agosto;36;30;0;5;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;114.66;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;60;2023;Septiembre;36;1;0;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;123.3;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;24;2023;Septiembre;36;1;0;3;2;0;0;BB;NLD;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;122;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;43;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;85;NULL;0;Transitorio;85.5;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;62;2023;Septiembre;36;1;0;3;2;0;0;BB;IRL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;1;2023;Septiembre;36;3;0;1;2;0;0;SC;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;149;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;40;2023;Agosto;36;28;2;5;2;0;0;BB;AUT;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;9;NULL;0;Transitorio - Fiesta;100.16;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;59;2023;Agosto;36;31;0;4;2;0;0;BB;DEU;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;40;2023;Agosto;36;28;2;5;2;1;0;BB;AUT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio - Fiesta;127.16;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;23;2023;Agosto;36;31;0;4;2;0;0;SC;VEN;Online TA;TA/TO;0;0;0;A;D;0;No Deposit;9;NULL;0;Transitorio;110;0;2;Check-Out;9/04/2023
Hotel Andina La Terraza;no;50;2023;Septiembre;36;1;0;3;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;15;NULL;0;Transitorio;98.64;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;40;2023;Agosto;36;31;0;4;2;0;0;HB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;168;NULL;0;Transitorio;113.25;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;0;2023;Septiembre;36;3;0;1;2;0;0;SC;BEL;Directo;Directo;0;0;0;A;A;0;No Deposit;14;NULL;0;Transitorio;139.13;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;28;2023;Septiembre;36;1;0;3;1;0;0;BB;GBR;Directo;Directo;0;0;0;E;E;1;No Deposit;14;NULL;0;Transitorio;173.2;0;0;Check-Out;9/04/2023
Hotel Andina La Terraza;no;62;2023;Septiembre;36;3;0;1;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;8;NULL;0;Transitorio;109.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;63;2023;Septiembre;36;3;0;1;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;D;1;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/04/2023
Hotel Andina La Terraza;no;55;2023;Septiembre;36;2;1;2;2;0;0;BB;POL;Online TA;TA/TO;0;0;0;D;D;2;No Deposit;9;NULL;0;Transitorio;123.3;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;55;2023;Septiembre;36;2;1;2;2;0;0;BB;POL;Online TA;TA/TO;0;0;0;A;A;1;No Deposit;9;NULL;0;Transitorio;109.8;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;63;2023;Septiembre;37;4;1;0;2;0;0;SC;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;8;NULL;0;Transitorio;99;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;51;2023;Agosto;36;29;2;5;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;9;NULL;0;Transitorio;123.3;0;0;Check-Out;9/05/2023
Hotel Andina La Terraza;no;68;2023;Agosto;36;30;1;5;2;0;0;BB;FRA;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;9;NULL;0;Transitorio;131.4;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;217;2023;Septiembre;36;1;1;3;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;27;NULL;0;Transitorio - Fiesta;80.75;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;5;2023;Septiembre;36;3;1;1;2;0;0;HB;ITA;Groups;TA/TO;0;0;0;A;A;2;No Deposit;1;NULL;0;Transitorio - Fiesta;96;0;1;Check-Out;9/05/2023
Hotel Andina La Terraza;no;142;2023;Agosto;36;29;2;5;2;0;0;BB;NOR;Directo;Directo;0;0;0;A;A;0;No Deposit;14;NULL;0;Transitorio;133;0;0;Check-Out;9/05/2023
